Full Product Description,Brand Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
BLEND 45 100G REFILL,Blend 45,981,1046.4,1438.8,1504.2,1111.8,1438.8,2223.6,1504.2
BLEND 45 25G REFILL,Blend 45,1776.6,1990.45,3306.45,3207.75,2171.4,3026.8,4474.4,2204.3
BLEND 45 3IN1 BARAKO 20G,Blend 45,987,188,780.2,714.4,394.8,361.9,437.1,197.4
BLEND 45 3IN1 KONDENSADA 20G,Blend 45,9855.9,7209.8,8624.5,7308.5,8304.9,6265.1,8525.8,6871.4
BLEND 45 3IN1 ORIGINAL 20G,Blend 45,8932,8872,11964,10304,10184,8632,12520,11136
BLEND 45 3IN1 PULA 20G,Blend 45,911.8,846,1203.2,484.1,747.3,747.3,625.1,366.6
BLEND 45 3IN1 PUTI 20G,Blend 45,2002.2,2406.4,2801.2,1931.7,2397,2580.3,2514.5,1612.1
BLEND 45 50G REFILL,Blend 45,1275.3,1569.6,1929.3,1569.6,1046.4,2190.9,3760.5,1406.1
BLEND 45 STICKS 2G,Blend 45,3187.5,1945.5,3297,1971,2545.5,2770.5,4995,2266.5
CAFE PURO MASON JAR 250G,Caf_ Puro,0,0,0,0,0,0,0,0
CAFE PURO MASON JAR 90G,Caf_ Puro,0,0,0,0,0,945,567,0
CAFE PURO POUCH 100G,Caf_ Puro,1350,877.5,1282.5,0,0,472.5,1147.5,540
CAFE PURO POUCH 25G,Caf_ Puro,2176.2,1860.3,1755,52.65,0,245.7,1333.8,333.45
CAFE PURO POUCH 50G,Caf_ Puro,1563.75,1598.5,278,0,0,799.25,834,590.75
CAFE PURO REGENCY CUP 50G,Caf_ Puro,8592,3744,0,0,0,4368,240,1200
CAFE PURO UTILITY JAR 100G,Caf_ Puro,2173.5,1795.5,756,0,0,283.5,850.5,0
GREAT TASTE 3IN1 BROWN 25G,Great Taste,5.45,0,0,0,0,0,0,0
GREAT TASTE 3IN1 ORIG 20G,Great Taste,536.8,404.8,26.4,0,0,0,0,0
GREAT TASTE CHOCOLATEY 30G,Great Taste,12832.5,9593.4,7581.5,5262.8,8177.4,6195,5510.6,4029.7
GREAT TASTE GRANULES 100G,Great Taste,592.4,518.35,962.65,888.6,518.35,666.45,1258.85,1184.8
GREAT TASTE GRANULES 25G,Great Taste,1063.05,1081.7,1119,1417.4,1249.55,1025.75,764.65,559.5
GREAT TASTE GRANULES 50G,Great Taste,0,0,0,0,0,0,0,0
GREAT TASTE ORIG TWIN PACK 33G,Great Taste,7405.2,4704.75,4536.45,4873.05,4314.6,4169.25,6135.3,5355
GREAT TASTE PREMIUM 100G REF,Great Taste,974.4,1252.8,974.4,1392,1252.8,696,1183.2,696
GREAT TASTE PREMIUM 25G,Great Taste,1460.8,985.6,1425.6,1584,1795.2,1724.8,2780.8,1689.6
GREAT TASTE PREMIUM 2G,Great Taste,3379.2,2678.4,4934.4,3574.4,4667.2,2188.8,5910.4,4675.2
GREAT TASTE PREMIUM 50G REF,Great Taste,1258.2,1432.95,1293.15,1467.9,1957.2,1328.1,1118.4,838.8
GREAT TASTE WHITE 3N1 30G,Great Taste,35772,52716,66312,70284,61056,57828,69042,57156
GREAT TASTE WHITE CARAMEL 30G,Great Taste,6106.5,1716.9,1646.1,2188.9,1610.7,1929.3,1504.5,2188.9
GREAT TASTE WHITE TWIN PK 50G,Great Taste,86970.75,63912.75,95370.45,75798.6,84564.3,76073.1,94071.15,81782.7
JIMMS 3IN1 CFE W/GRAPESEED 20G,Jimm's,0,0,0,0,0,0,0,0
JIMMS 3IN1 COFFEE 20G,Jimm's,0,0,0,0,160.65,367.2,0,0
JIMMS 3IN1 COFFEE GANODRMA 20G,Jimm's,1231.65,826.2,1040.4,390.15,1086.3,986.85,321.3,1866.6
JIMMS 3IN1 W/ SPIRULINA 20G ,Jimm's,390.15,2073.15,673.2,696.15,1889.55,1560.6,15.3,0
JIMM'S 3IN1 W/ WHEAT GRASS 20G,Jimm's,436.05,887.4,2096.1,1468.8,948.6,2050.2,726.75,2402.1
JIMMS 3PLUS1 W/GINSENG 20G,Jimm's,12353,9240,6930,10928.5,8074,9553.5,165,6963
JIMM'S 4IN1 W/ MUSHROOM 15G,Jimm's,2154.5,2460.3,2349.1,1549.85,1014.7,1139.8,0,0
JIMM'S 5IN1 BUTTER SCOTCH 20G,Jimm's,1118,1333,989,731,634.25,2139.25,1655.5,1161
JIMM'S 5IN1 COFFEE MIX 21G,Jimm's,2666,3429.25,4063.5,2547.75,3526,3010,4203.25,4289.25
JIMM'S 5IN1 SUGAR FREE 21G,Jimm's,3060.7,5219.7,4965.7,3962.4,3975.1,3200.4,2997.2,5854.7
JIMM'S 7IN1 COFFEE MIX 21G,Jimm's,7104,7092,4788,5436,4908,4128,3240,0
JIMM'S BLACK COFFEE+GNSENG 2G,Jimm's,24386.9,21932.8,16686.5,20407.9,23216.2,13885.1,832.6,28469.4
JIMM'S BROWN COFFEE 21G,Jimm's,2124.15,1927.8,1404.2,1499.4,2046.8,952,5.95,1874.25
KOPIKO BLACK ASTIG 25G,Kopiko,23750.3,31409,34525.4,6796.3,23657.2,24769.5,29017.8,22005.9
KOPIKO BLACK TWINPACK 50G,Kopiko,0,0,0,13581.2,17069.6,16765.6,16058.8,18308.4
KOPIKO BLANCA 30G,Kopiko,244771.6,363109,310624.8,41690.4,323506.6,315589.6,337299,319110.2
KOPIKO BLANCA TWINPACK 52G,Kopiko,0,0,0,244429.6,111792.9,106283.8,173710.2,151451.3
KOPIKO BROWN 27.5G,Kopiko,103494.9,72806.1,92568,5608.8,57963.3,60197.7,76904.4,54999.3
KOPIKO BROWN TWINPACK 55G,Kopiko,0,0,0,37344.4,48558.4,45692.6,46591.5,53222
KOPIKO CAPPUCCINO 25G,Kopiko,504.6,493,237.8,510.4,962.8,121.8,203,475.6
KOPIKO DOUBLE CUPS ORIG 33G,Kopiko,8781.25,7481.25,8850,5743.75,6506.25,7468.75,6718.75,6750
KOPIKO L.A. COFFEE 25G,Kopiko,8965.8,2907,7950.9,2550,5839.5,6992.1,4737.9,5339.7
MASKAPE 3N1 BROWN 25G,Maskape,3196,2754,2460.75,2354.5,1870,2095.25,2630.75,1695.75
MASKAPE 3N1 WHITE 25G,Maskape,9665.4,11053.8,11400.9,11663.45,12072.85,9509.65,7805.3,9380.6
NESCAFE 3N1 SARI-SARI PACK,Nescafe,0,0,0,0,2299.5,8048.25,11420.85,9121.35
NESCAFE B&B 22'S FREE TUMBLER,Nescafe,0,0,0,0,812.7,928.8,4411.8,2554.2
NESCAFE B&B BROWN 23.5G,Nescafe,0,0,0,0,2220.7,2973.3,2353.2,2718.9
NESCAFE B&B ESPRESSO ROAST 20G,Nescafe,943.4,991.1,3132.3,3005.1,3206.5,503.5,1128.9,2416.8
NESCAFE B&B ORIGINAL 20G,Nescafe,34921.7,30284.2,38340.2,35324.5,34762.7,32165.7,25985.9,31386.6
NESCAFE B&B SILKY ROAST 21G,Nescafe,3376.1,1664.2,2581.1,1457.5,773.8,1139.5,1685.4,2570.5
NESCAFE BERRY MOCHA 30G,Nescafe,4533.75,3685.5,4656.6,4434.3,3258.45,2088.45,3703.05,2714.4
NESCAFE BROWN & CREAMY 23G,Nescafe,0,0,0,0,0,0,0,0
NESCAFE BROWN&CREAMY TWINPACK,Nescafe,0,0,0,0,729,14544,14157,10350
NESCAFE CLA200G+CMATE450G+SHKR,Nescafe,0,0,0,0,229.4,688.2,1605.8,0
NESCAFE CLASSIC 100G REFILL,Nescafe,21192.2,21583.2,22756.2,25806,25727.8,24163.8,13685,21035.8
NESCAFE CLASSIC 200G + 20G,Nescafe,5487.2,5342.8,7364.4,6064.8,6931.2,3321.2,3176.8,7942
NESCAFE CLASSIC 25G REFILL,Nescafe,148711.2,140025.9,162485.85,147492.9,157376.85,146196,134504.25,145645.8
NESCAFE CLASSIC 50G REFILL,Nescafe,40778.8,38062.8,43960.4,41322,39614.8,26966,23784.4,35269.2
NESCAFE CLASSIC STICK 2G,Nescafe,163164,187348,214716,223154,216930,195734,222100,224428
NESCAFE COCO MOCHA 30G,Nescafe,4563,3948.75,5850,5089.5,6265.35,4609.8,5493.15,2737.8
NESCAFE CREAMY LATTE 27.5G,Nescafe,95986.8,67351.05,86790.6,80689.05,91617.44,74903.4,54504.45,71387.55
NESCAFE CREAMY LATTE W/TUMBLER,Nescafe,0,36038.7,16365.4,7486.3,0,0,0,0
NESCAFE CREAMY WHITE 29G,Nescafe,103334.4,75219.3,101778.3,118421.55,107160.3,91453.05,68409.9,101778.3
NESCAFE CREAMY WHITE W/TUMBLER,Nescafe,0,45788.3,21066.1,0,0,0,0,0
NESCAFE CRMY WHITE TWINPACK,Nescafe,0,0,0,0,34974,95787,115335,86418
NESCAFE DECAF 160G,Nescafe,3840,2880,1920,1440,4160,1120,960,640
NESCAFE DECAF 20G,Nescafe,1380,1380,1380,0,920,2093,1426,6624
NESCAFE DECAF 40G,Nescafe,0,528,0,44,660,1408,1056,1056
NESCAFE DECAF 80G,Nescafe,680,850,850,170,0,2465,1190,1955
NESCAFE DECAF STICK 2G,Nescafe,0,0,0,0,0,0,0,0
NESCAFE GOLD BLEND JAR 100G,Nescafe,253.6,0,507.2,0,0,0,253.6,507.2
NESCAFE MOCHA 360G FREE SHAKER,Nescafe,0,0,0,702,702,1333.8,1053,1825.2
NESCAFE ORIGINAL TWINPACK,Nescafe,0,0,0,0,5408.55,22070.25,24525.9,23600.25
NESCAFE RED MUG PACK,Nescafe,903,3431.4,0,0,0,0,0,0
NESTLE BUNDLE PACK W/RICE,Nescafe,0,0,0,0,0,0,1296,2592
NESTLE FAMILY SALU2 PACK 467G,Nescafe,0,0,0,0,0,0,0,0
RD PRINCE COFFEE 12'S,RD Prince Coffee,5823.5,4094.5,4873.5,6042,6232,5092,5719,7980
SAMIS 3N1 WHITE COFFEE 28G,Samis,1896,16,2280,2356,2880,2392,4424,3700
SAMS COFFEE 3IN1 ORIG 18G,Sams,368,624,128,224,300,448,96,280
SAN MIG COFFEE BARAKO 17G,San Mig Coffee,876,642,312,0,24,0,312,522
SAN MIG COFFEE ORIG DOS 34G,San Mig Coffee,0,0,0,476,434,469,490,497
SAN MIG COFFEE ORIGINAL 20G,San Mig Coffee,0,0,0,597.8,578.2,1151.5,1621.9,1612.1
SAN MIG COFFEE WHITE 28G,San Mig Coffee,2408,1668.8,1752.8,1131.2,968.8,806.4,593.6,431.2
